Date,Open,High,Low,Close,Volume,Adj Close
10/1/13,10789.72,10907.41,10759.14,10829.68,4298910000,10829.68
9/30/13,10835.96,10960.99,10732.27,10788.05,4284160000,10788.05
9/29/13,10857.98,10901.96,10759.75,10835.28,3990280000,10835.28
9/28/13,10809.85,10905.44,10714.03,10858.14,4025840000,10858.14
9/27/13,10860.03,10902.52,10776.44,10812.04,3587860000,10812.04
9/24/13,10664.39,10897.83,10664.39,10860.26,4123950000,10860.26
9/23/13,10738.48,10779.65,10610.12,10662.42,3847850000,10662.42
9/22/13,10761.11,10829.75,10682.4,10739.31,3911070000,10739.31
9/21/13,10753.39,10844.89,10674.83,10761.03,4175660000,10761.03
9/20/13,10608.08,10783.51,10594.38,10753.62,3364080000,10753.62
9/17/13,10595.44,10689.29,10529.67,10607.85,4086140000,10607.85
9/16/13,10571.75,10624.58,10499.43,10594.83,3364080000,10594.83
9/15/13,10526.42,10609.21,10453.15,10572.73,3369840000,10572.73
9/14/13,10544.81,10622.69,10460.34,10526.49,4521050000,10526.49
9/13/13,10458.6,10605.73,10458.45,10544.13,4521050000,10544.13
9/10/13,10415.01,10502.8,10376.34,10462.77,3061160000,10462.77
9/9/13,10388.22,10515.86,10359.23,10415.24,3387770000,10415.24
9/8/13,10338.57,10460.5,10318.93,10387.01,3224640000,10387.01
9/7/13,10446.8,10448.99,10304.44,10340.69,3107380000,10340.69
9/3/13,10321.92,10484.71,10321.92,10447.93,3534500000,10447.93
9/2/13,10270.08,10350.98,10211.8,10320.1,3704210000,10320.1
9/1/13,10016.01,10305.87,10016.01,10269.47,4396880000,10269.47
8/31/13,10006.42,10101.53,9915.73,10014.72,4038770000,10014.72
8/30/13,10145.58,10170.1,10005.56,10009.73,2917990000,10009.73
8/27/13,9982.4,10176.3,9925.11,10150.65,4102460000,10150.65
8/26/13,10059.83,10138.12,9959.17,9985.81,3646710000,9985.81
8/25/13,10040.15,10104.18,9925.34,10060.06,4360190000,10060.06
8/24/13,10170.86,10170.86,9975.86,10040.45,4436330000,10040.45
8/23/13,10215.51,10328.88,10146.18,10174.41,3210950000,10174.41
8/20/13,10270.98,10276.13,10131.88,10213.62,3761570000,10213.62
8/19/13,10411.15,10412.29,10202.34,10271.21,4290540000,10271.21
8/18/13,10398.59,10486.38,10308.83,10415.54,3724260000,10415.54
8/17/13,10297.55,10501.67,10297.55,10405.85,3968210000,10405.85
8/16/13,10303.07,10354.39,10193.26,10302.01,3142450000,10302.01
8/13/13,10320.33,10381.86,10254.18,10303.15,3328890000,10303.15
8/12/13,10361.58,10388.37,10222.85,10319.95,4521050000,10319.95
8/11/13,10631.82,10631.82,10339.63,10378.83,4511860000,10378.83
8/10/13,10696.63,10717.21,10522.63,10644.25,3979360000,10644.25
8/9/13,10654.62,10755.66,10618.26,10698.75,3191630000,10698.75
8/6/13,10668.55,10688.08,10491.37,10653.56,3857890000,10653.56
8/5/13,10679.67,10712.37,10571.6,10674.98,3685560000,10674.98
8/4/13,10630.2,10738.48,10583.1,10680.43,4057850000,10680.43
8/3/13,10673.92,10714.19,10564.18,10636.38,4071820000,10636.38
8/2/13,10468.82,10715.21,10468.82,10674.38,4144180000,10674.38
7/30/13,10465.19,10528.84,10327.37,10465.94,4006450000,10465.94
7/29/13,10498.94,10609.74,10383.45,10467.16,4612420000,10467.16
7/28/13,10537.01,10586.36,10445.17,10497.88,4002390000,10497.88
7/27/13,10525.28,10632.52,10460.65,10537.69,4725690000,10537.69
7/26/13,10424.17,10545.94,10391.02,10525.43,4009650000,10525.43
7/23/13,10321.16,10465.19,10237.84,10424.62,4524570000,10424.62
7/22/13,10121.81,10391.78,10121.81,10322.3,4826900000,10322.3
7/21/13,10226.02,10310.04,10053.85,10120.53,4747180000,10120.53
7/20/13,10151.48,10248.2,9973.17,10229.96,4713280000,10229.96
7/19/13,10098.12,10213.09,10051.28,10154.43,4089500000,10154.43
7/16/13,10356.2,10356.2,10071.63,10097.9,5297350000,10097.9
7/15/13,10367.1,10409.49,10216.04,10359.31,4552470000,10359.31
7/14/13,10370.96,10423.03,10265.16,10366.72,4521050000,10366.72
7/13/13,10217.55,10436.2,10217.55,10363.02,4640460000,10363.02
7/12/13,10199.24,10260.62,10121.13,10216.27,3426990000,10216.27
7/9/13,10137.93,10226.48,10079.05,10198.03,3506570000,10198.03
7/8/13,10019.26,10175.02,9987.02,10138.99,4548460000,10138.99
7/7/13,9736.85,10029.93,9716.38,10018.28,4931220000,10018.28
